표준 증상명,유사어 예시
의식 저하,"의식 저하이 생겼어요, 의식 저하 때문에 일상생활이 힘들어요, 의식 저하이 심해졌어요, 의식 저하이 있어요, 의식 저하 때문에 걱정이에요, 의식 저하 증상이 계속돼요, 의식 저하이 반복돼요, 의식 저하으로 병원에 가야 할 것 같아요"
반신마비,"반신마비이 심해졌어요, 반신마비이 반복돼요, 반신마비으로 병원에 가야 할 것 같아요, 반신마비 때문에 일상생활이 힘들어요, 반신마비이 있어요, 반신마비 증상이 계속돼요, 반신마비이 생겼어요, 반신마비 때문에 걱정이에요"
언어장애,"언어장애이 생겼어요, 언어장애 때문에 걱정이에요, 언어장애이 있어요, 언어장애이 반복돼요, 언어장애이 심해졌어요, 언어장애 증상이 계속돼요, 언어장애 때문에 일상생활이 힘들어요, 언어장애으로 병원에 가야 할 것 같아요"
마비,"마비 때문에 걱정이에요, 마비이 심해졌어요, 마비이 생겼어요, 마비 때문에 일상생활이 힘들어요, 마비 증상이 계속돼요, 마비으로 병원에 가야 할 것 같아요, 마비이 반복돼요, 마비이 있어요"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
하지 통증,"하지 통증이 심해졌어요, 하지 통증으로 병원에 가야 할 것 같아요, 하지 통증이 반복돼요, 하지 통증 때문에 걱정이에요, 하지 통증 때문에 일상생활이 힘들어요, 하지 통증이 생겼어요, 하지 통증이 있어요, 하지 통증 증상이 계속돼요"
보행장애,"보행장애이 심해졌어요, 보행장애 때문에 걱정이에요, 보행장애이 생겼어요, 보행장애 증상이 계속돼요, 보행장애이 있어요, 보행장애 때문에 일상생활이 힘들어요, 보행장애으로 병원에 가야 할 것 같아요, 보행장애이 반복돼요"
요통,"요통 때문에 걱정이에요, 요통 증상이 계속돼요, 요통 때문에 일상생활이 힘들어요, 요통이 있어요, 허리, 요통이 심해졌어요, 요통이 생겼어요, 요통, 요통이 반복돼요, 요통으로 병원에 가야 할 것 같아요"
다리 저림,"다리 저림이 있어요, 다리 저림 증상이 계속돼요, 다리 저림으로 병원에 가야 할 것 같아요, 다리 저림 때문에 걱정이에요, 다리 저림이 생겼어요, 다리 저림이 심해졌어요, 다리 저림이 반복돼요, 다리 저림 때문에 일상생활이 힘들어요"
허리 통증,"허리 통증 때문에 일상생활이 힘들어요, 허리 통증 증상이 계속돼요, 허리 통증이 있어요, 허리 통증이 반복돼요, 허리 통증으로 병원에 가야 할 것 같아요, 허리 통증이 심해졌어요, 허리 통증이 생겼어요, 허리 통증 때문에 걱정이에요"
움직임 제한,"움직임 제한이 심해졌어요, 움직임 제한 때문에 걱정이에요, 움직임 제한이 생겼어요, 움직임 제한 때문에 일상생활이 힘들어요, 움직임 제한이 있어요, 움직임 제한이 반복돼요, 움직임 제한으로 병원에 가야 할 것 같아요, 움직임 제한 증상이 계속돼요"
어깨 통증,"어깨 통증 때문에 일상생활이 힘들어요, 어깨 통증 때문에 걱정이에요, 어깨 통증 증상이 계속돼요, 어깨 통증으로 병원에 가야 할 것 같아요, 어깨 통증이 반복돼요, 어깨 통증이 있어요, 어깨 통증이 생겼어요, 어깨 통증이 심해졌어요"
운동 제한,"운동 제한으로 병원에 가야 할 것 같아요, 운동 제한 때문에 걱정이에요, 운동 제한이 있어요, 운동 제한이 생겼어요, 운동 제한 때문에 일상생활이 힘들어요, 운동 제한이 반복돼요, 운동 제한이 심해졌어요, 운동 제한 증상이 계속돼요"
어깨 통증,"어깨 통증 때문에 일상생활이 힘들어요, 어깨 통증 때문에 걱정이에요, 어깨 통증 증상이 계속돼요, 어깨 통증으로 병원에 가야 할 것 같아요, 어깨 통증이 반복돼요, 어깨 통증이 있어요, 어깨 통증이 생겼어요, 어깨 통증이 심해졌어요"
팔 들기 어려움,"팔 들기 어려움 증상이 계속돼요, 팔 들기 어려움이 생겼어요, 팔 들기 어려움이 심해졌어요, 팔 들기 어려움이 있어요, 팔 들기 어려움 때문에 걱정이에요, 팔 들기 어려움 때문에 일상생활이 힘들어요, 팔 들기 어려움으로 병원에 가야 할 것 같아요, 팔 들기 어려움이 반복돼요"
요통,"요통 때문에 걱정이에요, 요통 증상이 계속돼요, 요통 때문에 일상생활이 힘들어요, 요통이 있어요, 허리, 요통이 심해졌어요, 요통이 생겼어요, 요통, 요통이 반복돼요, 요통으로 병원에 가야 할 것 같아요"
움직일 때 통증,"움직일 때 통증이 생겼어요, 움직일 때 통증이 있어요, 움직일 때 통증이 반복돼요, 움직일 때 통증 때문에 걱정이에요, 움직일 때 통증 증상이 계속돼요, 움직일 때 통증 때문에 일상생활이 힘들어요, 움직일 때 통증이 심해졌어요, 움직일 때 통증으로 병원에 가야 할 것 같아요"
손목 부종,"손목 부종이 있어요, 손목 부종이 생겼어요, 손목 부종 때문에 일상생활이 힘들어요, 손목 부종이 반복돼요, 손목 부종 때문에 걱정이에요, 손목 부종 증상이 계속돼요, 손목 부종이 심해졌어요, 손목 부종으로 병원에 가야 할 것 같아요"
통증,"통증으로 병원에 가야 할 것 같아요, 통증이 심해졌어요, 통증 때문에 일상생활이 힘들어요, 통증 때문에 걱정이에요, 통증이 있어요, 통증 증상이 계속돼요, 통증이 반복돼요, 통증이 생겼어요"
엉덩이 통증,"엉덩이 통증이 심해졌어요, 엉덩이 통증 증상이 계속돼요, 엉덩이 통증으로 병원에 가야 할 것 같아요, 엉덩이 통증이 반복돼요, 엉덩이 통증 때문에 걱정이에요, 엉덩이 통증이 생겼어요, 엉덩이 통증 때문에 일상생활이 힘들어요, 엉덩이 통증이 있어요"
보행 곤란,"보행 곤란 증상이 계속돼요, 보행 곤란이 심해졌어요, 보행 곤란이 생겼어요, 보행 곤란이 있어요, 보행 곤란으로 병원에 가야 할 것 같아요, 보행 곤란 때문에 걱정이에요, 보행 곤란이 반복돼요, 보행 곤란 때문에 일상생활이 힘들어요"
윗눈꺼풀 처짐,"윗눈꺼풀 처짐 증상이 계속돼요, 윗눈꺼풀 처짐이 있어요, 윗눈꺼풀 처짐이 반복돼요, 윗눈꺼풀 처짐으로 병원에 가야 할 것 같아요, 윗눈꺼풀 처짐이 생겼어요, 윗눈꺼풀 처짐 때문에 일상생활이 힘들어요, 윗눈꺼풀 처짐 때문에 걱정이에요, 윗눈꺼풀 처짐이 심해졌어요"
피부 탈색,"피부 탈색이 생겼어요, 피부 탈색이 반복돼요, 피부 탈색으로 병원에 가야 할 것 같아요, 피부 탈색 때문에 걱정이에요, 피부 탈색이 있어요, 피부 탈색 때문에 일상생활이 힘들어요, 피부 탈색 증상이 계속돼요, 피부 탈색이 심해졌어요"
하얀 반점,"하얀 반점이 생겼어요, 하얀 반점으로 병원에 가야 할 것 같아요, 하얀 반점 때문에 일상생활이 힘들어요, 하얀 반점 때문에 걱정이에요, 하얀 반점이 있어요, 하얀 반점이 심해졌어요, 하얀 반점 증상이 계속돼요, 하얀 반점이 반복돼요"
피부 비늘,"피부 비늘이 생겼어요, 피부 비늘이 있어요, 피부 비늘 때문에 일상생활이 힘들어요, 피부 비늘으로 병원에 가야 할 것 같아요, 피부 비늘 증상이 계속돼요, 피부 비늘이 심해졌어요, 피부 비늘 때문에 걱정이에요, 피부 비늘이 반복돼요"
가려움,"가려움이 반복돼요, 가려움이 있어요, 가려움이 심해졌어요, 가려움 증상이 계속돼요, 가려움 때문에 걱정이에요, 가려움으로 병원에 가야 할 것 같아요, 가려움 때문에 일상생활이 힘들어요, 가려움이 생겼어요"
얼굴 붉음,"얼굴 붉음이 있어요, 얼굴 붉음 때문에 걱정이에요, 얼굴 붉음이 심해졌어요, 얼굴 붉음으로 병원에 가야 할 것 같아요, 얼굴 붉음이 반복돼요, 얼굴 붉음 때문에 일상생활이 힘들어요, 얼굴 붉음이 생겼어요, 얼굴 붉음 증상이 계속돼요"
비듬,"비듬 증상이 계속돼요, 비듬이 반복돼요, 비듬이 심해졌어요, 비듬 때문에 일상생활이 힘들어요, 비듬이 있어요, 비듬이 생겼어요, 비듬으로 병원에 가야 할 것 같아요, 비듬 때문에 걱정이에요"
발가락 사이 가려움,"발가락 사이 가려움 때문에 걱정이에요, 발가락 사이 가려움 때문에 일상생활이 힘들어요, 발가락 사이 가려움이 생겼어요, 발가락 사이 가려움이 있어요, 발가락 사이 가려움이 반복돼요, 발가락 사이 가려움으로 병원에 가야 할 것 같아요, 발가락 사이 가려움이 심해졌어요, 발가락 사이 가려움 증상이 계속돼요"
갈라짐,"갈라짐이 생겼어요, 갈라짐이 반복돼요, 갈라짐 때문에 일상생활이 힘들어요, 갈라짐 때문에 걱정이에요, 갈라짐으로 병원에 가야 할 것 같아요, 갈라짐이 있어요, 갈라짐 증상이 계속돼요, 갈라짐이 심해졌어요"
피부 발진,"피부 발진 때문에 걱정이에요, 피부 발진 때문에 일상생활이 힘들어요, 피부 발진이 반복돼요, 피부 발진이 생겼어요, 피부 발진이 심해졌어요, 피부 발진이 있어요, 피부 발진으로 병원에 가야 할 것 같아요, 피부 발진 증상이 계속돼요"
통증,"통증으로 병원에 가야 할 것 같아요, 통증이 심해졌어요, 통증 때문에 일상생활이 힘들어요, 통증 때문에 걱정이에요, 통증이 있어요, 통증 증상이 계속돼요, 통증이 반복돼요, 통증이 생겼어요"
가려움,"가려움이 반복돼요, 가려움이 있어요, 가려움이 심해졌어요, 가려움 증상이 계속돼요, 가려움 때문에 걱정이에요, 가려움으로 병원에 가야 할 것 같아요, 가려움 때문에 일상생활이 힘들어요, 가려움이 생겼어요"
진물,"진물 증상이 계속돼요, 진물이 심해졌어요, 진물이 생겼어요, 진물이 있어요, 진물으로 병원에 가야 할 것 같아요, 진물 때문에 걱정이에요, 진물 때문에 일상생활이 힘들어요, 진물이 반복돼요"
피부 갈라짐,"피부 갈라짐 때문에 걱정이에요, 피부 갈라짐이 심해졌어요, 피부 갈라짐 때문에 일상생활이 힘들어요, 피부 갈라짐이 반복돼요, 피부 갈라짐이 생겼어요, 피부 갈라짐 증상이 계속돼요, 피부 갈라짐이 있어요, 피부 갈라짐으로 병원에 가야 할 것 같아요"
시야 흐림,"시야 흐림이 생겼어요, 시야 흐림 때문에 일상생활이 힘들어요, 시야 흐림 증상이 계속돼요, 시야 흐림으로 병원에 가야 할 것 같아요, 시야 흐림이 있어요, 시야 흐림이 반복돼요, 시야 흐림이 심해졌어요, 시야 흐림 때문에 걱정이에요"
빛 번짐,"빛 번짐이 반복돼요, 빛 번짐 때문에 일상생활이 힘들어요, 빛 번짐이 있어요, 빛 번짐이 생겼어요, 빛 번짐 증상이 계속돼요, 빛 번짐으로 병원에 가야 할 것 같아요, 빛 번짐 때문에 걱정이에요, 빛 번짐이 심해졌어요"
시야 감소,"시야 감소 때문에 걱정이에요, 시야 감소으로 병원에 가야 할 것 같아요, 시야 감소 증상이 계속돼요, 시야 감소이 반복돼요, 시야 감소 때문에 일상생활이 힘들어요, 시야 감소이 생겼어요, 시야 감소이 있어요, 시야 감소이 심해졌어요"
안압 상승,"안압 상승이 있어요, 안압 상승 때문에 일상생활이 힘들어요, 안압 상승이 생겼어요, 안압 상승이 심해졌어요, 안압 상승으로 병원에 가야 할 것 같아요, 안압 상승 때문에 걱정이에요, 안압 상승 증상이 계속돼요, 안압 상승이 반복돼요"
눈 충혈,"눈 충혈 때문에 걱정이에요, 눈 충혈이 심해졌어요, 눈 충혈 때문에 일상생활이 힘들어요, 눈 충혈이 있어요, 눈 충혈으로 병원에 가야 할 것 같아요, 눈 충혈 증상이 계속돼요, 눈 충혈이 생겼어요, 눈 충혈이 반복돼요"
가려움,"가려움이 반복돼요, 가려움이 있어요, 가려움이 심해졌어요, 가려움 증상이 계속돼요, 가려움 때문에 걱정이에요, 가려움으로 병원에 가야 할 것 같아요, 가려움 때문에 일상생활이 힘들어요, 가려움이 생겼어요"
중심 시야 흐림,"중심 시야 흐림이 있어요, 중심 시야 흐림 증상이 계속돼요, 중심 시야 흐림이 생겼어요, 중심 시야 흐림이 심해졌어요, 중심 시야 흐림 때문에 일상생활이 힘들어요, 중심 시야 흐림 때문에 걱정이에요, 중심 시야 흐림이 반복돼요, 중심 시야 흐림으로 병원에 가야 할 것 같아요"
눈 건조함,"눈 건조함 때문에 걱정이에요, 눈 건조함이 반복돼요, 눈 건조함이 있어요, 눈 건조함 때문에 일상생활이 힘들어요, 눈 건조함으로 병원에 가야 할 것 같아요, 눈 건조함이 생겼어요, 눈 건조함이 심해졌어요, 눈 건조함 증상이 계속돼요"
이물감,"이물감 때문에 걱정이에요, 이물감으로 병원에 가야 할 것 같아요, 이물감이 심해졌어요, 이물감 증상이 계속돼요, 이물감 때문에 일상생활이 힘들어요, 이물감이 생겼어요, 이물감이 있어요, 이물감이 반복돼요"
귀에서 소리 느낌,"귀에서 소리 느낌이 있어요, 귀에서 소리 느낌 증상이 계속돼요, 귀에서 소리 느낌이 반복돼요, 귀에서 소리 느낌이 생겼어요, 귀에서 소리 느낌 때문에 걱정이에요, 귀에서 소리 느낌이 심해졌어요, 귀에서 소리 느낌 때문에 일상생활이 힘들어요, 귀에서 소리 느낌으로 병원에 가야 할 것 같아요"
청력 저하,"청력 저하이 반복돼요, 청력 저하이 있어요, 청력 저하이 심해졌어요, 청력 저하으로 병원에 가야 할 것 같아요, 청력 저하 때문에 일상생활이 힘들어요, 청력 저하이 생겼어요, 청력 저하 때문에 걱정이에요, 청력 저하 증상이 계속돼요"
말귀 못 알아들음,"말귀 못 알아들음이 생겼어요, 말귀 못 알아들음 증상이 계속돼요, 말귀 못 알아들음이 심해졌어요, 말귀 못 알아들음이 반복돼요, 말귀 못 알아들음 때문에 일상생활이 힘들어요, 말귀 못 알아들음 때문에 걱정이에요, 말귀 못 알아들음이 있어요, 말귀 못 알아들음으로 병원에 가야 할 것 같아요"
귀 통증,"귀 통증이 반복돼요, 귀 통증 때문에 일상생활이 힘들어요, 귀 통증 증상이 계속돼요, 귀 통증 때문에 걱정이에요, 귀 통증으로 병원에 가야 할 것 같아요, 귀 통증이 생겼어요, 귀 통증이 심해졌어요, 귀 통증이 있어요"
발열,"발열이 있어요, 발열이 심해졌어요, 체온, 발열 때문에 일상생활이 힘들어요, 열, 발열이 생겼어요, 발열으로 병원에 가야 할 것 같아요, 발열 때문에 걱정이에요, 발열이 반복돼요, 발열, 발열 증상이 계속돼요"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
균형 문제,"균형 문제이 반복돼요, 균형 문제이 심해졌어요, 균형 문제 때문에 걱정이에요, 균형 문제 때문에 일상생활이 힘들어요, 균형 문제 증상이 계속돼요, 균형 문제으로 병원에 가야 할 것 같아요, 균형 문제이 있어요, 균형 문제이 생겼어요"
이명,"이명이 있어요, 이명이 반복돼요, 이명이 심해졌어요, 이명 증상이 계속돼요, 이명 때문에 걱정이에요, 이명 때문에 일상생활이 힘들어요, 이명이 생겼어요, 이명으로 병원에 가야 할 것 같아요"
어지럼증,"어지럼증 증상이 계속돼요, 어지럼증이 반복돼요, 어지럼증 때문에 걱정이에요, 어지럼증으로 병원에 가야 할 것 같아요, 어지럼증이 있어요, 어지럼증 때문에 일상생활이 힘들어요, 어지럼증이 생겼어요, 어지럼증이 심해졌어요"
청력 저하,"청력 저하이 반복돼요, 청력 저하이 있어요, 청력 저하이 심해졌어요, 청력 저하으로 병원에 가야 할 것 같아요, 청력 저하 때문에 일상생활이 힘들어요, 청력 저하이 생겼어요, 청력 저하 때문에 걱정이에요, 청력 저하 증상이 계속돼요"
소화불량,"소화불량으로 병원에 가야 할 것 같아요, 소화불량 때문에 일상생활이 힘들어요, 소화불량 때문에 걱정이에요, 속, 더부룩, 소화불량이 반복돼요, 소화불량 증상이 계속돼요, 소화불량이 생겼어요, 소화, 소화불량이 심해졌어요, 소화불량이 있어요"
